,Gyny,ColonyStructure,ColonyFoundation,ColonyDensity,Workers,WorkerPolymorphism,MinBodySize,MaxBodySize,SterileWorkers,Sting,Diet,Aggressitivity,ForagingBehaviour,ActivityRange,HasSymbioses,Parasitic,SlaveMaking,NestRaids,Habitat,NestingType,DisturbanceSpecialist,InvasivenessStatus,Ecozone
Aphaenogaster_dulcinaea,Monogynous,Monodomous,NA,NA,NA,No,1.79175946922805,2.07944154167984,NA,Yes,Om,NA,NA,Day,NA,NA,NA,NA,TF,Ub,No,Native,Pa
Camponotus_reaumuri,NA,NA,NA,NA,NA,Yes,1.56861591791385,1.56861591791385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Aphaenogaster_edentula,NA,NA,NA,NA,NA,No,1.6094379124341,1.94591014905531,NA,NA,NA,NA,NA,NA,NA,No,No,No,RF,Un,No,Native,In
Anochetus_kanariensis,NA,NA,NA,NA,NA,NA,1.94591014905531,2.04122032885964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,In
Solenopsis_invicta,Facultative,Supercolonial,Facultative,Abundant,12.5061809416774,Yes,1.09861228866811,1.94591014905531,Yes,Yes,Om,Aggressive,MR,DayAndNight,Yes,No,NA,Yes,Ge,Ub,Yes,Invasive,Co
Plagiolepis_deweti,NA,NA,NA,NA,NA,NA,1.25276296849537,1.30833281965018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gr,NA,NA,Native,Af
Pheidole_soritis,NA,NA,Independent,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,No,NA,NA,Ge,NA,No,Native,Co
Camponotus_mississippiensis,NA,NA,Independent,NA,NA,Yes,NA,NA,No,No,Om,NA,NA,NA,NA,No,NA,NA,TF,TAL,NA,Native,Ne
Strumigenys_perplexa,Oligogynous,Monodomous,NA,Rare,4.61512051684126,No,1.16315080980568,1.30833281965018,Yes,Yes,Pr,NA,GH,NA,NA,NA,NA,NA,Ge,Ub,No,Exotic,Au
Pheidole_cephalica,NA,Monodomous,NA,NA,NA,Yes,NA,NA,NA,Yes,Om,NA,NA,NA,No,No,No,No,RF,TAL,No,Native,Neo
Anochetus_katonae,NA,NA,NA,NA,NA,NA,1.50407739677627,1.50407739677627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Au
Crematogaster_amabilis,NA,NA,NA,NA,NA,NA,1.6094379124341,1.6094379124341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Formica_neogagates,Polygynous,NA,NA,NA,5.70711026474888,NA,NA,NA,NA,No,Om,NA,NA,NA,NA,NA,NA,NA,Ge,NA,NA,Native,Ne
Myrmelachista_haberi,Monogynous,Polydomous,Independent,NA,NA,No,NA,NA,NA,No,Om,NA,Ge,Day,Yes,No,No,No,RF,TC,No,Native,Neo
Dorylus_ductor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Cerapachys_neotropicus,Monogynous,Monodomous,Independent,NA,NA,No,NA,NA,NA,Yes,Om,Aggressive,Ge,Day,NA,No,Yes,Yes,RF,Ub,NA,Native,Neo
Crematogaster_kachelibae,NA,NA,NA,NA,NA,NA,1.6094379124341,1.64865862558738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TC,NA,Native,Af
Camponotus_barbarossa,NA,NA,NA,NA,NA,Yes,1.87180217690159,2.34180580614733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Crematogaster_phoenix,NA,NA,NA,NA,NA,NA,1.50407739677627,1.56861591791385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Native,Af
Pyramica_Lasia,NA,NA,NA,NA,NA,NA,1.43508452528932,1.43508452528932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Platythyrea_prizo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Pheidole_rectitrudis,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,TAL,NA,Native,Neo
Labidus_praedator,Monogynous,NA,Independent,NA,13.8155115579638,Yes,NA,NA,Yes,Yes,Pr,Aggressive,AA,DayAndNight,No,No,No,Yes,Ge,Un,No,Native,Neo
Myrmecocystus_semirufus,NA,NA,NA,NA,NA,Yes,1.73342389221509,1.73342389221509,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,De,NA,NA,Native,Ne
Formica_lemani,Polygynous,NA,NA,Abundant,NA,NA,1.68639895357023,2.01490302054226,NA,NA,Om,NA,NA,NA,NA,NA,NA,NA,Ge,Gr,NA,Native,Pa
Anochetus_chirichinii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,In
Pheidole_psammophila,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Co,Gr,No,Native,Ne
Acromyrmex_(Moellerius)_versicolor,Oligogynous,NA,Independent,NA,8.00670084544037,Yes,NA,NA,NA,Yes,Pr,NA,Ge,NA,Yes,No,No,No,Ge,TAL,NA,Native,Co
Camponotus_negus,NA,NA,NA,NA,NA,Yes,1.97408102602201,2.45958884180371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AA,NA,NA,Native,Af
Tapinoma_pygmaeum,NA,NA,NA,NA,NA,No,1.09861228866811,1.09861228866811,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Pa
Cerapachys_niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Native,Af
Camponotus_pennsylvanicus,Monogynous,NA,Independent,NA,7.99328232810159,Yes,1.94591014905531,2.63905732961526,No,No,Om,NA,NA,DayAndNight,NA,No,NA,NA,Ge,Ub,NA,Native,Ne
Messor_subgracilinodis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,De,NA,NA,Native,Pa
Crematogaster_pinicola,NA,NA,Independent,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,TF,TC,NA,Native,Ne
Discothyrea_denticulata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Camponotus_caesar,NA,NA,NA,NA,NA,Yes,2.63905732961526,2.63905732961526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Camponotus_raphaelis,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,TC,NA,Native,Neo
Myrmica_latifrons,Oligogynous,NA,Independent,NA,6.90875477931522,No,1.7227665977411,1.7227665977411,NA,Yes,Om,NA,NA,NA,No,No,No,No,Ge,TAL,No,Native,Ne
Wasmannia_sigmoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Pyramica_tacta,NA,NA,NA,NA,NA,NA,0.993251773010283,1.02961941718116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,NA,NA,Native,Af
Pheidole_sensitiva,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,MR,NA,NA,NA,NA,NA,RF,NA,NA,Native,Neo
Linepithema_angulatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ho,NA,HT,NA,NA,NA,NA,NA,RF,Ub,NA,Native,Neo
Pheidole_dryas,NA,Polydomous,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RF,TC,NA,Native,Neo
